,BST4,COC4,CR14,GRE4,RG14,TA24,TR34
BST4,0,6,1,4,6,8,5
COC4,5,0,5,0,0,2,1
CR14,0,0,0,0,0,0,0
GRE4,0,0,0,0,0,0,0
RG14,2,0,0,2,0,1,0
TA24,1,15,1,0,11,0,1
TR34,4,2,0,0,0,0,0
