,A,B,C,D,E,F,G
A,0,6,4,0,4,11,5
B,0,0,5,0,5,22,7
C,0,3,0,0,2,7,4
D,0,0,0,0,0,0,0
E,0,3,1,0,0,1,2
F,0,4,1,1,3,0,5
G,0,1,0,0,1,10,0
