,A,C,K,D,S,L,H,B,CB,T,W,R
A,0,3,3,7,5,11,8,4,3,3,3,0
C,0,0,2,9,3,6,10,6,3,4,0,4
K,1,3,0,4,5,7,7,1,6,6,2,2
D,1,3,1,0,4,7,4,7,18,2,3,13
S,0,1,0,1,0,4,3,5,2,5,2,2
L,4,0,4,6,2,0,19,7,8,7,4,17
H,0,0,0,0,1,4,0,5,9,6,2,1
B,0,0,0,0,1,1,1,0,3,3,1,3
CB,1,1,1,3,0,1,2,0,0,1,1,6
T,0,1,0,0,1,1,0,1,0,0,6,4
W,0,0,0,0,0,1,0,0,0,2,0,2
R,1,2,1,1,0,0,1,0,2,1,2,0
