,a853,a839,a855,yc18,yc06,rnl,a870,bc19,yc12,yc17
a853,0,0,1,1,0,0,0,0,0,0
a839,0,0,0,3,0,0,2,0,0,3
a855,0,0,0,1,1,3,5,9,0,2
yc18,0,0,0,0,0,1,3,0,1,4
yc06,0,0,0,0,0,0,1,0,0,0
rnl,0,0,0,0,0,0,0,3,0,0
a870,0,0,0,1,0,0,0,5,2,4
bc19,0,0,2,0,0,0,2,0,0,3
yc12,0,0,0,0,0,0,0,0,0,0
yc17,0,0,0,1,0,0,0,0,0,0
