,m1,m2,m3,m4,f1,f2,f3,j1,j2
m1,0,29,2,11,3,3,2,1,0
m2,0,0,7,20,2,11,5,2,0
m3,0,0,0,0,0,1,0,0,0
m4,0,1,0,0,0,0,0,0,0
f1,0,0,0,0,0,0,0,0,0
f2,0,0,0,0,0,0,0,0,0
f3,0,0,0,0,0,0,0,0,0
j1,0,0,0,0,0,0,0,0,0
j2,0,0,0,0,0,0,0,0,0
