,RD,U,WW,V,RC,RW,RS,WD,C
RD,0,21,17,8,7,8,12,14,12
U,7,0,55,20,17,20,16,11,10
WW,11,45,0,17,23,11,8,13,11
V,1,15,7,0,3,14,6,2,2
RC,2,3,14,3,0,0,10,8,4
RW,6,11,8,4,2,0,0,3,8
RS,2,9,15,6,1,11,0,2,3
WD,3,4,6,2,6,2,2,0,3
C,2,3,5,1,3,2,4,1,0
