,a4,a19,a8,a7,a39,a47,a46,a44,a29,a25,a30
a4,0,1,1,0,2,0,1,2,2,2,1
a19,0,0,4,2,3,5,4,4,8,6,15
a8,0,4,0,2,2,3,5,3,3,3,2
a7,0,1,0,0,1,2,1,3,1,0,3
a39,0,0,1,0,0,0,6,6,2,0,0
a47,0,0,0,0,0,0,0,1,2,1,0
a46,0,0,0,0,0,0,0,0,1,2,3
a44,0,1,0,0,1,0,0,0,0,1,3
a29,0,0,0,0,0,0,1,0,0,1,1
a25,0,0,0,0,0,0,1,0,0,0,3
a30,0,0,1,0,0,0,0,1,1,0,0
