,x4,x3,x2,x5,x6,x7
x4,0,16,8,14,1,1
x3,1,0,6,17,1,0
x2,0,0,0,2,1,0
x5,0,0,0,0,1,1
x6,0,0,0,0,0,1
x7,0,0,0,0,0,0
