,De,Ho,He,It,Jb,Ba,Ib,Lb,Mb,Ag,Pb
De,0,19,21,23,24,15,27,27,32,51,42
Ho,0,0,12,14,24,22,28,40,25,12,35
He,0,0,0,26,19,8,29,23,31,5,22
It,0,0,0,0,3,13,10,11,14,1,10
Jb,0,1,0,0,0,54,3,59,66,22,78
Ba,0,0,0,0,0,0,64,53,49,12,41
Ib,0,0,0,0,29,0,0,56,34,14,43
Lb,0,1,0,0,1,1,0,0,42,23,49
Mb,0,0,0,0,0,0,0,0,0,99,78
Ag,0,0,0,2,4,3,2,6,2,0,7
Pb,0,0,0,0,0,0,1,0,1,6,0
