,p13,p14,p17,p12,p15,p16
p13,0,22,15,2,3,7
p14,1,0,5,1,10,3
p17,0,0,0,0,3,7
p12,0,0,0,0,0,2
p15,0,0,1,0,0,5
p16,0,0,0,1,0,0
