,a1,a2,a3,a4,a5,a6,a7
a1,0,2,6,2,0,0,0
a2,0,0,8,1,2,0,0
a3,0,0,0,2,0,1,0
a4,0,0,0,0,0,2,0
a5,0,0,0,0,0,5,3
a6,0,0,0,0,0,0,1
a7,0,0,0,0,0,0,0
