,x16,x96,x92,x12,x39,x22
x16,0,43,14,0,0,0
x96,0,0,3,3,4,1
x92,1,3,0,3,3,2
x12,0,0,25,0,5,4
x39,0,0,12,0,0,3
x22,0,0,6,0,0,0
