,x9,x16b,x13,x14,x15,x12f,x17c,x10d
x9,0,39,23,27,4,30,43,24
x16b,10,0,95,57,9,29,87,31
x13,0,33,0,70,1,37,53,28
x14,0,11,0,0,1,29,53,25
x15,0,0,0,0,0,2,2,7
x12f,0,1,0,5,0,0,50,21
x17c,1,0,0,5,0,6,0,27
x10d,0,0,0,0,4,2,0,0
