,sr,sl,dr,kn,aa,nn,nl,kr,tt
sr,0,0,3,1,1,1,1,1,3
sl,0,0,5,0,1,2,0,1,0
dr,0,0,0,1,3,0,0,0,1
kn,0,0,0,0,2,0,1,3,2
aa,0,0,0,0,0,0,1,0,0
nn,0,0,0,0,0,0,0,0,1
nl,0,0,0,0,0,0,0,0,0
kr,0,0,0,0,0,0,0,0,0
tt,0,0,0,0,1,0,0,0,0
