,B1,B2,B3,B4,B5,B6
B1,0,29,26,187,32,55
B2,14,0,10,14,18,38
B3,0,0,0,22,7,22
B4,9,4,3,0,7,5
B5,0,4,2,3,0,23
B6,2,0,3,1,1,0
