,S,O,B,WS,Y,WP,WG,RG
S,0,8,4,5,8,5,3,3
O,0,0,15,5,9,7,4,2
B,0,0,0,15,16,0,3,4
WS,0,0,0,0,9,10,3,4
Y,0,0,0,0,0,11,3,2
WP,0,0,25,0,0,0,7,7
WG,0,0,0,0,0,0,0,5
RG,0,0,0,0,0,0,0,0
