,Ta,Ma,Ka,Ir,Sa,Mo,Mi,Tu,Ky
Ta,0,4,1,0,4,5,8,1,3
Ma,1,0,0,3,2,0,10,1,5
Ka,0,0,0,2,2,0,3,2,1
Ir,0,2,0,0,2,1,3,4,5
Sa,0,0,3,1,0,2,6,3,6
Mo,0,0,0,0,0,0,3,2,2
Mi,0,0,1,0,0,5,0,4,5
Tu,0,0,0,0,0,0,1,0,2
Ky,0,0,0,0,1,1,2,1,0
