,2E,X18,12E,12A1,5C,2C1,5E,2G,2F,5D1,12C1
2E,0,85,67,11,29,16,31,47,42,20,15
X18,9,0,49,12,22,41,35,51,52,12,17
12E,0,34,0,10,18,10,29,34,47,38,14
12A1,0,0,7,0,7,8,4,18,12,3,1
5C,2,3,8,7,0,7,15,19,23,23,2
2C1,2,1,2,0,0,0,20,42,30,13,10
5E,1,2,0,0,0,0,0,22,34,23,3
2G,0,2,1,1,1,1,5,0,25,37,14
2F,0,1,2,0,0,1,0,7,0,40,27
5D1,0,0,0,1,0,0,0,1,1,0,37
12C1,0,1,0,0,3,0,0,1,0,7,0
