,A,B,C,D,E,F,G,H,I
A,0,8,3,0,0,5,6,9,11
B,7,0,0,6,2,5,43,15,16
C,0,1,0,0,0,5,8,1,1
D,1,2,0,0,0,0,3,0,2
E,0,0,0,0,0,0,1,3,1
F,0,1,0,0,0,0,4,1,0
G,0,0,1,0,0,7,0,5,3
H,0,0,0,0,0,0,7,0,2
I,0,0,0,0,0,0,1,1,0
