,ca,cb,cc,cd,ce,cf,cg,ch,ci,cj,ck,cl,cm,cn
ca,0,3,2,4,0,2,4,1,0,0,1,1,0,1
cb,0,0,12,29,6,0,12,3,0,4,2,4,0,5
cc,0,0,0,11,3,4,2,2,1,1,1,4,1,3
cd,0,0,0,0,8,4,5,9,2,4,0,2,2,4
ce,0,0,0,0,0,3,8,6,1,4,1,1,0,3
cf,0,0,0,0,0,0,1,4,0,2,0,1,0,2
cg,0,0,0,0,0,0,0,4,0,0,2,3,1,11
ch,0,0,0,0,0,0,0,0,2,1,1,0,0,3
ci,0,0,0,0,0,0,0,0,0,4,0,4,0,4
cj,0,0,0,0,0,0,0,0,0,0,0,2,1,4
ck,0,0,0,0,0,0,0,0,0,0,0,1,2,1
cl,0,0,0,0,0,0,0,0,0,0,0,0,0,3
cm,0,0,0,0,0,0,0,0,0,0,0,0,0,5
cn,0,0,0,0,0,0,0,0,0,0,0,0,0,0
