,a,b,c,d,e,f,g
a,0,1,6,3,0,1,1
b,0,0,0,1,1,0,4
c,1,0,0,3,1,0,0
d,0,0,0,0,0,0,0
e,0,0,0,0,0,0,1
f,0,0,0,0,0,0,1
g,0,1,0,0,0,0,0
