,BB,BY,GW,BW,BR,RW,RY
BB,0,43,86,71,36,35,69
BY,49,0,80,66,55,87,51
GW,25,24,0,27,13,22,18
BW,20,15,12,0,12,14,16
BR,4,17,31,12,0,3,11
RW,1,15,9,8,6,0,8
RY,69,103,59,63,48,61,0
