,A,B,C,D,E,F,G,H,I,J,K,L,M,N
A,0,1,0,1,3,1,2,2,1,0,0,0,4,4
B,0,0,0,0,0,2,0,3,0,0,8,5,4,4
C,0,0,0,0,1,0,1,1,0,3,0,2,1,1
D,0,0,0,0,1,0,1,2,0,1,2,2,0,4
E,0,0,0,1,0,0,0,0,0,1,0,1,0,1
F,0,0,0,0,0,0,0,0,0,0,2,0,0,1
G,0,0,0,1,0,0,0,3,0,0,2,1,0,0
H,0,0,0,1,0,0,0,0,2,0,5,1,1,5
I,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J,0,0,0,1,0,0,0,0,0,0,1,0,0,1
K,0,0,0,2,0,0,0,1,0,3,0,0,1,3
L,0,0,0,0,0,0,0,0,0,1,0,0,1,1
M,0,0,0,0,0,0,0,0,0,0,1,0,0,1
N,1,0,0,0,0,0,1,0,0,0,1,1,3,0
