,a16,a5,a65,a1,a28,a15,a22,a12,a48,a37,a14,a26,a2
a16,0,2,0,3,3,0,2,1,1,3,2,0,2
a5,2,0,4,0,4,2,4,1,0,2,3,2,0
a65,1,1,0,3,0,1,2,2,0,2,2,8,3
a1,1,2,1,0,0,1,3,6,1,1,2,1,0
a28,0,0,3,0,0,0,1,2,0,0,0,1,0
a15,0,0,1,1,0,0,0,2,0,0,0,3,4
a22,0,0,2,3,1,0,0,0,0,0,5,3,5
a12,0,0,0,0,0,1,3,0,1,1,6,0,1
a48,0,0,0,0,0,0,0,1,0,0,2,0,0
a37,0,0,0,0,0,0,0,0,0,0,1,0,0
a14,0,0,1,1,0,0,2,1,0,0,0,3,2
a26,0,0,0,0,0,0,0,0,0,0,0,0,3
a2,0,0,0,0,0,0,0,0,0,0,0,0,0
