,S,J,G,Q,H,M,B1,A,O,E,F,B2,R
S,0,0,0,0,1,0,1,0,4,1,1,4,0
J,0,0,1,0,0,0,0,0,0,0,0,0,0
G,0,0,0,3,0,1,0,0,0,0,0,0,0
Q,0,0,0,0,2,0,7,0,0,0,0,0,0
H,0,0,0,0,0,0,1,0,1,0,0,0,0
M,0,0,0,0,0,0,0,1,0,0,0,0,0
B1,0,0,0,0,0,0,0,0,1,0,2,0,0
A,0,0,0,0,0,0,0,0,2,0,0,2,0
O,0,0,0,0,0,0,0,0,0,1,0,0,0
E,0,0,0,0,0,0,0,1,0,0,2,0,0
F,0,0,0,0,0,0,0,0,0,0,0,0,0
B2,0,0,0,0,0,0,0,0,0,0,0,0,0
R,0,0,0,0,0,0,0,0,0,0,0,0,0
