,D,E,F,G,H,I,J,K,L
D,0,0,0,0,0,5,2,4,2
E,0,0,0,0,0,2,1,0,0
F,0,0,0,1,1,0,0,0,0
G,0,0,0,0,1,1,1,0,0
H,0,0,0,0,0,0,3,2,0
I,0,0,0,0,0,0,1,0,0
J,0,0,0,0,0,0,0,3,0
K,0,0,0,0,0,0,0,0,0
L,0,0,0,0,0,0,0,0,0
