,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
x1,0,7,13,1,14,6,2,7,4,13
x2,0,0,17,2,56,32,25,25,3,25
x3,0,0,0,2,33,8,12,12,4,18
x4,0,0,0,0,6,0,1,6,0,9
x5,0,0,6,0,0,25,25,25,12,41
x6,0,0,0,0,0,0,8,17,3,18
x7,0,0,0,0,4,0,0,31,3,9
x8,0,0,0,0,0,0,0,0,6,69
x9,0,0,0,0,0,0,0,0,0,12
x10,0,0,0,0,0,0,0,13,0,0
