,A,B,C,D,E,F,G,H,I,J
A,0,0,1,0,3,0,1,0,1,0
B,0,0,3,0,0,1,1,0,2,1
C,0,0,0,0,2,0,2,0,2,3
D,0,0,0,0,2,0,4,4,0,0
E,0,0,0,0,0,0,8,0,0,1
F,0,0,0,0,0,0,0,0,0,0
G,0,0,0,0,1,0,0,0,2,3
H,0,0,0,0,0,0,0,0,0,0
I,0,0,0,0,0,0,0,0,0,0
J,0,0,0,0,0,0,0,0,0,0
