,A,B,C,D,E,F,G,H,I,J
A,0,8,19,1,23,4,6,4,2,7
B,0,0,39,4,13,13,11,1,4,10
C,0,0,0,1,25,37,5,8,1,14
D,0,0,0,0,16,12,10,3,1,9
E,0,0,0,0,0,16,10,7,2,23
F,0,0,0,0,0,0,17,4,1,19
G,0,0,0,0,0,0,0,1,3,10
H,0,0,0,0,0,0,0,0,1,12
I,0,0,0,0,0,0,0,0,0,0
J,0,0,0,0,0,0,0,0,0,0
