,x907,x915,x912,x910,x917,x898,x897,x911,x904,x902
x907,0,2,0,5,2,2,1,0,2,0
x915,0,0,2,2,1,0,3,2,1,1
x912,0,1,0,1,1,3,1,1,4,0
x910,0,0,0,0,1,1,1,0,1,0
x917,0,0,0,0,0,7,1,4,2,3
x898,0,0,0,0,0,0,2,3,6,10
x897,0,1,1,0,2,0,0,0,0,2
x911,0,0,0,1,0,0,0,0,1,1
x904,0,0,0,1,0,0,0,0,0,1
x902,0,0,0,0,0,0,0,0,0,0
