,A1,A2,A3,A4,A5,A6
A1,0,15,9,6,9,3
A2,0,0,10,9,16,8
A3,0,0,0,10,7,5
A4,0,0,2,0,19,4
A5,0,1,0,0,0,6
A6,0,0,0,0,1,0
