,Q,C,G,B,W,V,R,H
Q,0,0,1,0,0,0,0,0
C,0,0,4,9,3,4,6,5
G,0,0,0,1,2,1,1,0
B,0,0,0,0,2,0,2,0
W,0,0,0,1,0,0,0,0
V,0,0,0,0,0,0,0,1
R,0,0,0,0,0,0,0,1
H,0,1,0,0,1,0,0,0
