,ab,yb,sc,ls,ds,m,y
ab,0,35,4,4,2,1,2
yb,0,0,0,0,0,0,0
sc,0,0,0,6,1,13,1
ls,0,0,1,0,6,2,30
ds,0,0,0,0,0,1,0
m,0,0,0,1,0,0,0
y,0,0,0,0,0,0,0
