,A,B,C,D,E,F,G,H,I,J
A,0,21,12,0,21,4,22,2,33,4
B,0,0,15,10,11,5,20,6,36,13
C,0,0,0,17,11,13,28,4,18,2
D,7,2,0,0,13,9,5,1,7,0
E,0,0,0,2,0,15,18,2,28,9
F,3,1,0,0,0,0,2,4,8,3
G,0,0,0,0,2,0,0,8,27,3
H,0,1,0,0,0,1,0,0,8,3
I,0,0,0,0,0,0,0,0,0,20
J,0,0,0,0,0,0,0,0,1,0
