,Ag,Sd,Tl,Ut,Ta,Tb
Ag,0,1,1,1,2,1
Sd,1,0,34,21,25,3
Tl,0,5,0,16,17,5
Ut,1,0,3,0,20,7
Ta,0,0,3,13,0,1
Tb,0,0,2,2,0,0
