,o,s,h,j,g,p,jo,r,mg,a,mn,b
o,0,1,12,23,1,6,2,11,5,1,8,21
s,2,0,48,5,4,5,0,10,34,5,15,5
h,0,6,0,22,0,4,3,12,7,6,8,6
j,0,0,4,0,1,6,6,17,8,2,6,9
g,0,0,0,1,0,7,0,8,2,2,3,1
p,0,0,2,7,2,0,0,13,2,9,5,7
jo,0,1,3,1,0,1,0,3,3,0,2,13
r,0,0,1,4,0,0,1,0,22,4,1,5
mg,0,8,9,6,4,3,1,2,0,2,5,6
a,0,1,0,4,0,4,0,5,2,0,6,3
mn,0,0,1,0,0,0,0,3,2,1,0,2
b,0,0,0,2,0,0,1,0,1,0,2,0
