,A,B,C,D,E,F,G,H
A,0,5,5,4,2,2,0,2
B,0,0,5,1,3,0,1,0
C,0,0,0,3,2,3,3,1
D,0,0,0,0,1,1,2,0
E,0,0,0,0,0,0,5,7
F,0,0,0,0,0,0,3,1
G,0,0,0,0,0,0,0,0
H,0,0,0,0,0,0,0,0
