,CRV,FRJ,CHL,SAL,TOR,MOO,QSO,BUR,MND
CRV,0,5,4,6,1,3,0,3,0
FRJ,0,0,17,8,2,6,0,5,0
CHL,0,0,0,13,4,9,2,7,0
SAL,0,0,0,0,4,7,1,6,0
TOR,0,0,0,0,0,3,2,3,0
MOO,0,0,0,0,0,0,0,0,0
QSO,0,0,0,0,0,0,0,4,2
BUR,0,0,0,0,0,0,0,0,0
MND,0,0,0,0,0,0,0,0,0
