,L,G,D,SL,TW,SP,N,TI,TR,PL
L,0,4,4,0,2,6,2,3,6,2
G,0,0,6,5,5,7,7,11,3,7
D,0,0,0,4,1,3,2,1,3,2
SL,0,2,0,0,5,7,5,5,5,3
TW,0,2,0,0,0,0,1,1,2,4
SP,0,1,2,4,2,0,9,4,1,0
N,0,0,0,0,1,3,0,4,0,2
TI,0,0,0,0,1,1,3,0,3,1
TR,0,2,0,2,1,1,1,1,0,2
PL,0,1,0,0,3,2,0,0,4,0
