,a1,a2,a3,a4,a5,a6,a7,a8,a9
a1,0,20,9,11,10,0,2,5,4
a2,2,0,29,6,14,8,8,17,9
a3,5,19,0,7,6,0,5,7,7
a4,6,24,6,0,5,6,1,16,6
a5,4,3,2,5,0,8,4,10,2
a6,5,5,0,1,4,0,3,7,3
a7,0,5,4,0,0,1,0,8,3
a8,1,12,5,0,5,7,0,0,16
a9,0,4,2,0,2,3,2,7,0
