,M,G,W,B,R,GP,P,V
M,0,1,0,0,0,0,0,0
G,0,0,1,12,19,3,4,7
W,0,1,0,0,5,0,0,0
B,0,0,0,0,3,0,0,0
R,0,1,1,0,0,0,0,14
GP,0,0,0,0,0,0,0,0
P,0,0,0,0,0,0,0,0
V,0,0,0,0,0,0,0,0
