,C1,C2,C3,C4,C5,C6,C7,C8
C1,0,16,17,40,17,9,11,23
C2,6,0,10,6,7,7,8,6
C3,5,3,0,3,6,2,4,3
C4,5,2,2,0,3,2,2,4
C5,2,0,1,3,0,1,1,0
C6,0,0,1,1,0,0,0,0
C7,0,0,0,0,1,0,0,0
C8,0,0,1,0,0,0,0,0
