,AA,TR,GU,RF,MW,KG,KK,SF
AA,0,3,2,22,6,1,9,11
TR,0,0,2,2,4,2,6,6
GU,0,0,0,2,2,0,4,3
RF,1,0,0,0,14,0,20,1
MW,0,0,1,0,0,23,2,10
KG,0,0,1,2,1,0,3,3
KK,2,0,0,1,0,0,0,1
SF,0,0,0,0,0,0,0,0
