,a,b,c,d,e,f,g,h,i
a,0,1,1,1,1,0,3,0,0
b,0,0,1,0,0,0,0,3,0
c,0,0,0,0,0,0,0,0,1
d,0,1,0,0,0,0,0,0,1
e,0,0,0,0,0,0,1,0,2
f,0,0,2,0,0,0,0,0,0
g,0,0,0,0,0,0,0,0,1
h,0,1,0,0,0,0,0,0,0
i,0,0,0,0,0,0,0,0,0
