,A,B,C,D,E,F,G,H,I,J
A,0,10,18,19,12,17,19,12,3,9
B,0,0,18,29,18,10,14,3,11,5
C,0,0,0,36,12,20,34,18,13,22
D,0,0,0,0,20,19,14,7,0,7
E,0,0,0,0,0,8,19,3,1,6
F,0,0,0,0,1,0,9,6,2,5
G,0,0,0,1,0,1,0,10,3,12
H,0,0,0,0,5,1,0,0,12,14
I,0,0,0,5,0,0,1,0,0,8
J,0,0,0,0,0,0,0,0,0,0
