,Ns,Np,Az,Ro,Re,Nr,He,Gr
Ns,0,30,0,1,1,12,18,26
Np,1,0,0,2,1,15,16,52
Az,0,0,0,0,0,2,3,10
Ro,0,2,0,0,0,0,2,8
Re,0,1,0,0,0,0,1,7
Nr,0,1,0,0,0,0,0,22
He,0,0,0,0,0,0,0,0
Gr,0,0,0,0,0,0,0,0
