,m8,m12,m13,m16,m17,f11,f9,f10
m8,0,7,2,13,10,2,4,0
m12,1,0,10,0,2,3,6,1
m13,1,3,0,2,3,0,5,0
m16,0,0,1,0,8,1,2,1
m17,3,0,0,1,0,6,13,5
f11,0,0,0,0,0,0,3,3
f9,0,0,0,0,0,2,0,4
f10,0,0,0,0,0,1,1,0
