,B,WN,BN,SC,DND,PN,DNL,B1,SP
B,0,4,31,24,15,24,5,27,14
WN,0,0,30,18,20,21,2,7,9
BN,0,0,0,23,7,16,11,13,18
SC,0,0,0,0,11,11,9,19,7
DND,0,0,0,0,0,15,8,4,7
PN,0,0,0,0,1,0,1,12,11
DNL,0,0,0,0,0,0,0,6,6
B1,0,0,0,0,1,0,0,0,4
SP,0,0,0,0,0,0,0,0,0
