,a0,a4,a5,a6,a21,a2,a22,a3,a20,a9,a7
a0,0,5,2,2,4,1,2,3,0,2,3
a4,0,0,3,5,0,4,1,0,1,1,1
a5,0,0,0,2,1,0,1,2,0,1,2
a6,0,1,0,0,5,16,9,3,4,1,5
a21,0,0,0,0,0,1,2,2,0,0,1
a2,0,0,0,0,0,0,3,1,0,0,7
a22,0,0,0,0,0,0,0,3,3,0,5
a3,0,0,0,0,1,1,0,0,0,0,4
a20,0,0,0,0,0,0,1,0,0,0,1
a9,0,0,0,0,0,0,0,0,0,0,0
a7,0,0,0,0,0,0,0,0,0,0,0
