,a1,a3,a2,a6,a7,a4
a1,0,3,2,5,0,0
a3,0,0,1,3,0,2
a2,0,0,0,2,3,2
a6,0,0,0,0,5,0
a7,0,0,0,0,0,3
a4,0,0,0,0,0,0
