,GI,AI,MD,SN,VR,AO,ZS,AG,TA,SE,ZI,RN,LE,UE
GI,0,3,0,0,11,0,3,2,0,1,0,1,7,8
AI,0,0,0,1,2,1,0,2,0,0,0,0,1,0
MD,0,0,0,1,2,0,0,0,0,0,0,0,1,2
SN,0,0,0,0,0,0,2,0,0,0,1,0,1,1
VR,0,0,1,0,0,2,1,0,0,0,0,0,0,0
AO,1,0,0,0,0,0,0,0,0,0,0,0,0,1
ZS,1,0,0,0,0,0,0,0,0,0,0,1,0,0
AG,0,0,0,0,0,0,1,0,0,0,0,0,0,0
TA,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
