,a1,a2,a3,a4,a5,a6,a7,a8,a9
a1,0,0,8,3,7,7,12,0,1
a2,2,0,4,0,6,0,3,5,7
a3,3,1,0,4,9,9,13,2,10
a4,2,1,4,0,4,2,3,1,1
a5,4,3,5,2,0,15,14,2,1
a6,3,1,4,1,8,0,19,0,1
a7,9,2,11,3,10,9,0,2,1
a8,0,0,1,1,1,0,1,0,0
a9,0,0,0,0,3,0,0,0,0
