,M2,M1,M3,M4,M5,F2,F1,F3,F5,F4
M2,0,39,43,40,32,0,30,26,14,35
M1,0,0,16,42,0,8,0,5,1,14
M3,0,2,0,13,22,0,6,2,1,3
M4,0,1,0,0,34,6,10,2,11,0
M5,0,31,0,0,0,3,9,9,0,5
F2,0,0,4,0,1,0,3,3,1,1
F1,0,0,0,0,0,1,0,2,3,2
F3,0,0,0,0,0,0,0,0,0,3
F5,0,0,0,0,0,0,1,0,0,1
F4,0,0,0,0,0,0,1,0,0,0
