,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10
E1,0,11,0,6,4,8,9,2,11,10
E2,7,0,0,8,4,1,0,6,1,7
E3,0,2,0,2,0,0,0,0,0,0
E4,0,0,1,0,0,0,0,1,0,0
E5,0,0,0,1,0,0,0,0,0,0
E6,0,0,0,0,0,0,0,0,1,0
E7,0,0,0,0,0,0,0,0,0,0
E8,0,0,0,0,0,0,0,0,0,0
E9,0,0,0,0,0,0,0,0,0,0
E10,0,0,0,0,0,0,0,0,0,0
