,s15,s11,s9,s13,s10,s12,s14
s15,0,7,8,7,8,5,13
s11,0,0,12,11,0,1,18
s9,0,0,0,16,20,39,27
s13,0,0,0,0,10,27,18
s10,0,6,0,1,0,6,1
s12,0,14,1,0,5,0,22
s14,0,0,0,0,0,0,0
