,RB,WB,R-F,WR,R-M,W,WW,BB,B
RB,0,7,14,12,2,1,9,6,6
WB,0,0,19,39,20,0,34,23,34
R-F,0,0,0,28,28,23,23,21,18
WR,0,1,0,0,42,2,47,1,39
R-M,16,1,1,1,0,24,62,26,62
W,0,29,0,20,0,0,21,15,16
WW,0,0,1,0,0,2,0,26,60
BB,0,1,2,33,1,1,2,0,60
B,0,0,1,0,0,6,0,0,0
