,c9,c16,c13,c14,c12,c11,c10,c15
c9,0,5,11,7,4,15,15,12
c16,0,0,12,9,8,49,29,31
c13,1,0,0,11,30,35,30,15
c14,0,0,0,0,1,4,6,2
c12,0,0,0,0,0,5,4,0
c11,0,0,0,0,0,0,50,23
c10,0,0,0,2,0,0,0,15
c15,0,0,0,0,0,9,5,0
