,A1,A2,A3,J1,J2,J3,A4,J4
A1,0,23,10,16,15,13,6,9
A2,1,0,15,20,36,13,2,12
A3,3,4,0,19,19,9,17,4
J1,0,1,1,0,29,19,17,15
J2,0,1,4,1,0,15,5,6
J3,0,1,1,0,0,0,14,11
A4,1,24,0,0,1,1,0,5
J4,0,0,0,0,0,0,0,0
