,a31,a30,a23,a49,a19,a36,a15,a32,a9,a47,a4,a20
a31,0,16,13,12,9,18,10,5,5,7,4,5
a30,0,0,27,23,10,14,12,6,7,8,4,6
a23,0,0,0,14,3,10,11,16,8,3,4,5
a49,0,0,0,0,8,19,17,15,9,8,7,7
a19,0,0,3,0,0,11,11,4,5,6,6,8
a36,0,1,0,0,0,0,7,10,1,2,5,4
a15,0,0,0,0,0,0,0,11,6,6,10,7
a32,0,0,0,0,0,0,1,0,17,9,13,14
a9,0,0,0,0,0,3,0,1,0,13,11,10
a47,0,0,0,0,0,0,0,0,2,0,11,10
a4,0,0,0,0,0,0,0,0,0,0,0,2
a20,0,0,0,0,0,0,0,0,0,0,0,0
