,A1,A2,A3,I1,I2,I3,I4,I5,I6,I7
A1,0,0,6,16,9,7,10,10,6,16
A2,0,0,3,25,11,11,8,7,6,16
A3,0,0,0,23,8,2,16,17,9,14
I1,0,1,0,0,26,40,64,80,47,60
I2,1,0,0,1,0,7,10,14,7,18
I3,0,0,4,0,4,0,12,19,17,21
I4,0,0,0,3,4,1,0,67,26,42
I5,1,1,0,6,5,2,2,0,28,78
I6,0,1,1,5,3,2,1,6,0,32
I7,0,1,1,0,3,1,0,2,2,0
