,di,di3m,di4f,pa,pa1f,pa2f,sa1m,sa2m,sa3m,tn,sa
di,0,5,2,16,16,19,3,10,0,0,0
di3m,0,0,8,12,5,23,21,15,1,1,0
di4f,0,5,0,16,4,8,8,14,0,0,0
pa,0,5,5,0,1,0,3,16,1,0,0
pa1f,0,0,2,0,0,1,16,33,0,0,0
pa2f,0,5,0,0,0,0,21,25,0,0,0
sa1m,0,2,1,0,6,2,0,36,0,0,0
sa2m,0,9,0,18,18,8,7,0,0,0,0
sa3m,0,0,0,0,0,0,0,0,0,0,0
tn,0,0,0,0,0,0,0,0,0,0,0
sa,0,0,0,0,0,0,0,0,0,0,0
