,K3.2,K2.3,K4.4,K6.3,K11,K12,K13,K7,K3,K4,K1,K2,K6
K3.2,0,4,12,9,10,6,3,7,0,5,4,9,2
K2.3,0,0,7,11,6,16,7,5,7,6,2,7,5
K4.4,0,1,0,10,12,6,0,2,1,2,8,5,6
K6.3,1,0,0,0,12,7,5,9,2,13,6,10,6
K11,0,0,0,1,0,0,2,1,1,3,2,4,6
K12,0,0,1,0,0,0,1,0,0,3,1,3,4
K13,0,0,0,0,0,0,0,0,2,1,0,1,0
K7,0,0,0,0,0,0,0,0,0,0,0,2,0
K3,0,0,0,0,0,0,0,0,0,1,0,5,3
K4,0,0,1,0,0,0,0,0,0,0,2,9,3
K1,0,0,0,0,0,0,0,0,0,0,0,2,2
K2,0,1,0,0,0,1,0,0,0,2,2,0,8
K6,0,0,0,0,0,0,0,0,6,3,0,0,0
