,RWB,O,PW,RB,B,BW,R,GY
RWB,0,16,11,5,4,4,4,1
O,0,0,7,6,16,4,4,6
PW,0,0,0,4,7,10,10,3
RB,0,0,0,0,12,13,8,8
B,0,0,0,0,0,3,8,5
BW,0,0,0,0,0,0,5,2
R,0,0,0,0,0,0,0,11
GY,0,0,0,0,0,0,0,0
