,a6,a8,a9,a10,a4,a3,a5,a1,a2,a7
a6,0,46,136,59,74,64,85,119,70,111
a8,46,0,61,35,17,16,13,18,11,16
a9,5,5,0,53,21,31,39,40,22,34
a10,0,3,5,0,6,9,24,13,18,22
a4,2,4,11,5,0,6,4,10,2,11
a3,1,1,1,10,3,0,5,1,4,1
a5,1,6,2,3,3,2,0,6,3,0
a1,2,2,0,3,3,2,3,0,4,3
a2,0,0,0,1,0,0,0,2,0,1
a7,0,0,0,1,0,0,0,0,0,0
